image_id,transform,feature_id,original_value,transformed_value,absolute_change,percentage_change,status,should_theoretically_preserve,limitations
angry_a11,jpeg_q50,segmentation.bounding_box_coverage,0.938395,0.939828,0.001433,0.0015,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,jpeg_q50,composition.centroid_x,0.480795,0.479113,0.001682,0.0035,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,jpeg_q50,composition.centroid_y,0.413677,0.412391,0.001286,0.0031,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,jpeg_q50,composition.symmetry,0.717587,0.717516,7.1e-05,0.0001,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,jpeg_q50,stroke.edge_density,0.182488,0.198146,0.015658,0.0858,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,jpeg_q50,stroke.intensity_proxy,0.593844,0.595825,0.001981,0.0033,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,jpeg_q50,stroke.fragmentation,0.060284,0.064208,0.003924,0.0651,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,jpeg_q50,segmentation.component_count,98.0,104.0,6.0,0.0612,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,jpeg_q50,segmentation.largest_component_ratio,0.453926,0.455974,0.002049,0.0045,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,jpeg_q50,colour.dark_ratio,0.340272,0.342215,0.001943,0.0057,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,jpeg_q30,segmentation.foreground_coverage,0.222657,0.223334,0.000677,0.003,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,jpeg_q30,segmentation.bounding_box_coverage,0.938395,0.938395,0.0,0.0,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,jpeg_q30,composition.centroid_x,0.480795,0.481218,0.000423,0.0009,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,jpeg_q30,composition.centroid_y,0.413677,0.413483,0.000194,0.0005,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,jpeg_q30,composition.symmetry,0.717587,0.71722,0.000367,0.0005,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,jpeg_q30,stroke.edge_density,0.182488,0.198905,0.016417,0.09,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,jpeg_q30,stroke.intensity_proxy,0.593844,0.593792,5.2e-05,0.0001,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,jpeg_q30,stroke.fragmentation,0.060284,0.063168,0.002884,0.0478,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,jpeg_q30,segmentation.component_count,98.0,103.0,5.0,0.051,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,jpeg_q30,segmentation.largest_component_ratio,0.453926,0.452011,0.001915,0.0042,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,jpeg_q30,colour.dark_ratio,0.340272,0.33891,0.001362,0.004,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,brightness_up_1.3x,segmentation.foreground_coverage,0.222657,0.217836,0.004821,0.0217,pass,True,
angry_a11,brightness_up_1.3x,segmentation.bounding_box_coverage,0.938395,0.929799,0.008596,0.0092,pass,True,
angry_a11,brightness_up_1.3x,composition.centroid_x,0.480795,0.474226,0.006569,0.0137,pass,True,
angry_a11,brightness_up_1.3x,composition.centroid_y,0.413677,0.409598,0.004079,0.0099,pass,True,
angry_a11,brightness_up_1.3x,composition.symmetry,0.717587,0.724304,0.006717,0.0094,pass,True,
angry_a11,brightness_up_1.3x,stroke.edge_density,0.182488,0.17536,0.007128,0.0391,pass,True,
angry_a11,brightness_up_1.3x,stroke.intensity_proxy,0.593844,0.505417,0.088427,0.1489,pass,True,
angry_a11,brightness_up_1.3x,stroke.fragmentation,0.060284,0.057217,0.003067,0.0509,pass,True,
