model,class_name,cohort,n_images_in_cohort,n_present,n_absent,n_uncertain,n_not_assessable,n_usable_for_metrics,sufficient_support,tp,fp,fn,tn,precision,recall,f1,specificity,balanced_accuracy,ranking_separation
grounding_dino,face,locked_test_descriptive_only,7,7,0,0,0,7,True,6,0,1,0,1.0,0.8571428571428571,0.923076923076923,,,
grounding_dino,hand,full_80,80,43,37,0,0,80,True,13,1,30,36,0.9285714285714286,0.3023255813953488,0.456140350877193,0.972972972972973,0.6376492771841609,0.6411062225015713
grounding_dino,hand,dev_eligible_excl_test,73,38,35,0,0,73,True,10,1,28,34,0.9090909090909091,0.2631578947368421,0.4081632653061224,0.9714285714285714,0.6172932330827068,0.6203007518796992
grounding_dino,hand,locked_test_descriptive_only,7,5,2,0,0,7,True,3,0,2,2,1.0,0.6,0.7499999999999999,1.0,0.8,0.8
grounding_dino,animal,full_80,80,13,67,0,0,80,True,11,35,2,32,0.2391304347826087,0.8461538461538461,0.3728813559322034,0.47761194029850745,0.6618828932261768,0.6061997703788748
grounding_dino,animal,dev_eligible_excl_test,73,10,63,0,0,73,True,8,33,2,30,0.1951219512195122,0.8,0.3137254901960785,0.47619047619047616,0.638095238095238,0.6436507936507937
grounding_dino,animal,locked_test_descriptive_only,7,3,4,0,0,7,False,3,2,0,2,0.6,1.0,0.7499999999999999,0.5,0.75,0.5
grounding_dino,house,full_80,80,14,66,0,0,80,True,11,35,3,31,0.2391304347826087,0.7857142857142857,0.36666666666666664,0.4696969696969697,0.6277056277056277,0.8241341991341992
grounding_dino,house,dev_eligible_excl_test,73,12,61,0,0,73,True,9,31,3,30,0.225,0.75,0.3461538461538462,0.4918032786885246,0.6209016393442623,0.8060109289617486
grounding_dino,house,locked_test_descriptive_only,7,2,5,0,0,7,False,2,4,0,1,0.3333333333333333,1.0,0.5,0.2,0.6,1.0
grounding_dino,tree,full_80,80,15,64,1,0,79,True,14,45,1,19,0.23728813559322035,0.9333333333333333,0.37837837837837834,0.296875,0.6151041666666667,0.8505208333333333
