strategy,N,triggered_n,triggered_pct,abstained_n,abstained_pct,supported_coverage_n,supported_coverage_pct,mean_rules_per_triggered_concern,median_rules_per_triggered_concern,mean_independent_families,median_independent_families,duplicate_inflation_n,duplicate_inflation_pct,cross_domain_convergence_n,cross_domain_convergence_pct,ineligible_evidence_used_n,ineligible_evidence_used_pct,structurally_unsupported_n,structurally_unsupported_pct,ignored_true_contradiction_n,ignored_true_contradiction_pct,policy_disagreement_vs_r4_n,policy_disagreement_vs_r4_pct,abs_diff_vs_R4_triggered_pct,rel_pct_diff_vs_R4_triggered_pct,abs_diff_vs_R4_supported_coverage_pct,rel_pct_diff_vs_R4_supported_coverage_pct,abs_diff_vs_R4_duplicate_inflation_pct,rel_pct_diff_vs_R4_duplicate_inflation_pct,abs_diff_vs_R4_cross_domain_convergence_pct,rel_pct_diff_vs_R4_cross_domain_convergence_pct,abs_diff_vs_R4_structurally_unsupported_pct,rel_pct_diff_vs_R4_structurally_unsupported_pct
R1,34,20,58.8235294117647,14,41.1764705882353,20,58.8235294117647,1.0,1.0,1.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,58.8235294117647,58.8235294117647,,58.8235294117647,,0.0,,0.0,,0.0,
R1_broad,34,29,85.29411764705883,5,14.705882352941176,10,29.41176470588235,0.5490196078431373,1.0,0.5490196078431373,1.0,0,0.0,0,0.0,19,55.88235294117647,19,55.88235294117647,0,0.0,29,85.29411764705883,85.29411764705883,,29.41176470588235,,0.0,,0.0,,55.88235294117647,
R2,34,0,0.0,34,100.0,0,0.0,,,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
R2_broad,34,3,8.823529411764707,31,91.17647058823529,0,0.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1,2.9411764705882355,0,0.0,3,8.823529411764707,3,8.823529411764707,0,0.0,3,8.823529411764707,8.823529411764707,,0.0,,2.9411764705882355,,0.0,,8.823529411764707,
R3,34,3,8.823529411764707,31,91.17647058823529,0,0.0,1.0,1.0,1.0,1.0,0,0.0,3,8.823529411764707,0,0.0,3,8.823529411764707,0,0.0,3,8.823529411764707,8.823529411764707,,0.0,,0.0,,8.823529411764707,,8.823529411764707,
R4,34,0,0.0,34,100.0,0,0.0,,,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
R5,34,17,50.0,17,50.0,17,50.0,1.0,1.0,1.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17,50.0,50.0,,50.0,,0.0,,0.0,,0.0,
